loss,accuracy,val_loss,val_accuracy
0.5539613366127014,0.7629595398902893,0.4149608910083771,0.8239946365356445
0.4354783296585083,0.8140709400177002,0.35650089383125305,0.8600033521652222
0.41878265142440796,0.8248593807220459,0.3989064395427704,0.8287060260772705
0.4039490818977356,0.8260453939437866,0.35016337037086487,0.8537775278091431
0.3896535038948059,0.8333907127380371,0.32422399520874023,0.8635369539260864
0.3871089518070221,0.834117591381073,0.3896649479866028,0.8243311643600464
0.37507960200309753,0.8401239514350891,0.34809839725494385,0.8578159213066101
0.3702645003795624,0.84222811460495,0.3285171687602997,0.8564698100090027
0.3696024715900421,0.8423811197280884,0.3420579433441162,0.855796754360199
0.36000391840934753,0.8500707745552063,0.3243740200996399,0.8687531352043152
