loss,accuracy,val_loss,val_accuracy
0.37740468978881836,0.8466276526451111,0.28639376163482666,0.886252760887146
0.33068692684173584,0.871265172958374,0.38007333874702454,0.840484619140625
0.3257019817829132,0.8735988140106201,0.3211040496826172,0.8763250708580017
0.3206601142883301,0.877539336681366,0.26820695400238037,0.895002543926239
0.31194978952407837,0.8809441924095154,0.37059471011161804,0.8542823195457458
0.3174557685852051,0.8781896829605103,0.30611932277679443,0.8825508952140808
0.3121703565120697,0.881020724773407,0.276414155960083,0.9013965725898743
0.3264305889606476,0.877539336681366,0.2970423102378845,0.8896180391311646
0.3182157278060913,0.8793756365776062,0.3713380992412567,0.8500757217407227
0.3179555833339691,0.8791078329086304,0.2805759608745575,0.8965169191360474
