loss,accuracy,val_loss,val_accuracy
0.3765530288219452,0.8486552834510803,0.30561795830726624,0.8810365200042725
0.30609750747680664,0.882436215877533,0.3241766393184662,0.8818778395652771
0.2831873893737793,0.8922682404518127,0.2452692687511444,0.9056032299995422
0.27717718482017517,0.892650842666626,0.26119324564933777,0.8911324143409729
0.26885518431663513,0.896591305732727,0.2759481370449066,0.8923102617263794
0.2635817527770996,0.9006083011627197,0.2382548600435257,0.9094733595848083
0.2525058090686798,0.9016794562339783,0.2678695321083069,0.8894497752189636
0.24980802834033966,0.9035540819168091,0.22263766825199127,0.9098098874092102
0.24712461233139038,0.9038984179496765,0.23162464797496796,0.9057714939117432
0.24372754991054535,0.9060790538787842,0.25162920355796814,0.9013965725898743
