loss,accuracy,val_loss,val_accuracy
0.3878088891506195,0.8396266102790833,0.3367476761341095,0.8618542551994324
0.3393216133117676,0.8668273687362671,0.3589848577976227,0.8477200269699097
0.32642850279808044,0.8732928037643433,0.28231483697891235,0.8938246965408325
0.3194689154624939,0.8768889307975769,0.276898056268692,0.8865892887115479
0.31070026755332947,0.8806763887405396,0.29131442308425903,0.8825508952140808
0.30728840827941895,0.8802555799484253,0.26444047689437866,0.893151581287384
0.29833298921585083,0.8842725157737732,0.27582287788391113,0.893319845199585
0.2932264506816864,0.8869122862815857,0.2858227789402008,0.8904593586921692
0.2904430031776428,0.8894755244255066,0.2719572186470032,0.8882719278335571
0.2918545603752136,0.8880982398986816,0.3161356449127197,0.8749789595603943
